TAXON	F1M.1	F1M.2	F1M.3	F1T1.1	F1T1.2	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F2T2.3	F3M.1	F3M.2	F3M.3	F3T1.1	F3T1.2	F3T1.3	F3T2.1	F3T2.2	F3T2.3	F4M.1	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.2	F4T2.3	F5T1.1
Bilophila	0.0006353240152477764	0.0	0.003196022727272728	0.0003117692907248636	0.0006146281499692685	7.392257841953527e-05	0.0007099064214262668	0.001021972406745018	0.00048216007714561236	0.0001295840352468576	0.00023121387283236994	0.0	0.003960184095044418	0.0027720027720027724	0.0	0.0	0.0	0.00039032006245121	0.0012423172485942198	0.0	0.0011223344556677889	0.0004066280370031514	0.0	0.0022132409545804472	0.0002042275094455223	0.0	0.0	0.000217564725505838	0.00243605359317905	0.0016281341582546403	0.0	0.0009478672985781991	0.0	0.0	0.0	0.0016163793103448276	0.00041476565740356696
Adlercreutzia	0.0	0.0	0.0	0.0	0.0006146281499692685	0.0	0.0002581477896095515	0.0	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.252157516861267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allisonella	0.0	0.0	0.0	0.0003117692907248636	0.0006146281499692685	0.0	0.00012907389480477574	0.0	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003923107100823852	0.0014730639730639729	0.0012873836403248166	0.0	0.0	9.622786759045419e-05	0.0005105687736138056	0.0	0.0	0.00029008630067445067	0.0003045066991473812	0.0	0.0	0.0	0.0	0.00055239898989899	0.00021724961981316532	0.0	0.0
Streptococcus	0.00012706480304955527	0.11061700944969403	0.0007102272727272727	0.0	0.0	0.0002464085947317842	0.00012907389480477574	0.000510986203372509	0.00048216007714561236	0.0016845924582091487	0.005086705202312137	0.03343283582089547	0.0	0.0017325017325017325	0.0026402640264026403	0.0002858980773354299	0.000831946755407654	0.00351288056206089	0.0017653981953707333	0.0016835016835016832	0.01386413151119025	0.001931483175764969	0.006324310650139136	0.02097767513471901	0.0011743081793117532	0.001585728444003964	0.014067025237898226	0.0035535571832620216	0.005176613885505479	0.0009768804949527841	0.002345844504021449	0.002132701421800948	0.0012594458438287153	0.006234217171717163	0.0017379969585053225	0.0021551724137931034	0.00041476565740356696
Catellicoccus	0.0003811944091486658	0.0	0.0	0.0	0.0	2.4640859473178423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetanaerobacterium	0.0003811944091486658	0.0	0.0014204545454545455	0.007794232268121596	0.00430239704978488	0.0002464085947317842	0.002904162633107455	0.002554931016862545	0.0009643201542912247	0.0003887521057405728	0.00023121387283236994	0.0	0.0	0.0017325017325017325	0.00033003300330033004	0.0006432706740047173	0.0	0.0	0.0002615404733882568	0.0	0.0004951475539710833	0.0005082850462539392	0.0	0.0002886836027713626	5.1056877361380575e-05	0.0	0.0	0.00297338458191312	0.0009135200974421437	0.0	0.0008378016085790886	0.00047393364928909954	0.0006297229219143577	0.0	0.00021724961981316532	0.0016163793103448276	0.0012442969722107008
Holdemania	0.0006353240152477764	0.0011117287381878821	0.003196022727272728	0.0	0.0	0.00017248601631224896	0.0002581477896095515	0.000510986203372509	0.0009643201542912247	0.000647920176234288	0.00023121387283236994	0.0	0.00042812801027507225	0.000693000693000693	0.00033003300330033004	0.00021442355800157246	0.00027731558513588466	0.0	0.0005230809467765136	0.00021043771043771043	0.0003631082062454611	0.0007115990647555149	0.0	0.00019245573518090838	0.00045951189625242504	0.0	0.0004137360364087712	0.0009427804771919649	0.0006090133982947625	0.00032562683165092806	0.0007540214477211797	0.0	0.0	0.0	0.0	0.0	0.0008295313148071339
Cronobacter	0.0	0.0	0.0003551136363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Granulicatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003465003465003465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1056877361380575e-05	0.00019821605550049553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerorhabdus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004137360364087712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaeroglobus	0.00012706480304955527	0.0	0.0	0.0004676539360872954	0.0	2.4640859473178423e-05	0.005550177476605358	0.007664793050587633	0.0077145612343297995	0.0	0.0	0.0	0.0	0.0	0.0	0.00021442355800157246	0.0	0.00039032006245121	0.00019615535504119262	0.0014730639730639729	0.0009242754340793555	0.0003049710277523635	0.0012648621300278269	0.0011547344110854503	0.00025528438680690285	0.0005946481665014866	0.002068680182043856	0.0009427804771919649	0.0003045066991473812	0.0013025073266037122	8.378016085790885e-05	0.0	0.0	0.0007891414141414141	0.0	0.0	0.0
Yokenella	0.00012706480304955527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010165700925078785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0002581477896095515	0.0	0.0	0.0002591680704937152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.53851183470642e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00019821605550049553	0.0	0.0	0.0006090133982947625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Martelella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1056877361380575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudobutyrivibrio	0.0003811944091486658	0.0005558643690939411	0.0	0.0003117692907248636	0.001229256299938537	0.00029569031367814106	0.0004517586318167152	0.0	0.0	0.0003887521057405728	0.0	0.0	0.00032109600770630417	0.0	0.0	0.0010721177900078623	0.002773155851358847	0.00039032006245121	0.0001307702366941284	0.0	0.00016504918465702777	0.0007115990647555149	0.0015178345560333923	0.0	0.0005616256509751861	0.0	0.0	0.0	0.0	0.0	0.002094504021447722	0.00047393364928909954	0.0	0.0010258838383838383	0.000651748859439496	0.0	0.0008295313148071339
