TAXON	F1M.1	F1M.2	F1T1.1	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F3M.1	F3M.2	F3T1.1	F3T1.2	F3T1.3	F3T2.2	F3T2.3	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.3	F5T2.1
PHAGE_Lister_WIL_1	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.00032076984763432237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019880715705765406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024813895781637717	0.0	0.0	0.0	0.0
PHAGE_Microb_vB_MoxS_ISF9	0.00012090436464756378	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.00048115477145148355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028089887640449437
PHAGE_Vibrio_12B3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032076984763432237	0.0	0.000122684333210649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.001148105625717566	0.0024813895781637717	0.0	0.0	0.0	0.0
PHAGE_Strept_DCC1738	0.0	0.0	0.0	0.0032948929159802307	0.0	0.0	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	0.0	0.00025220680958385876	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	7.291286912139993e-05	0.0010141987829614604	0.0009363295880149813
PHAGE_Caulob_CcrColossus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003711493257453916	0.0	0.0	0.002296211251435132	0.004962779156327543	0.0	0.0	0.0	0.0009363295880149813
PHAGE_Vibrio_12B8	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Coryne_BFK20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bacill_Page	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.00017522340984755565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010615711252653928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Mycoba_Bobi	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Aeromo_Aeh1	0.0	0.0	0.0	0.0	0.0005243838489774515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bacill_phIS3501	0.0	0.0	0.0	0.0	0.0005243838489774515	0.0011668611435239206	0.0	0.00016038492381716118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Cellul_phi19:1	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0011668611435239206	0.0	0.00016038492381716118	0.0014017872787804452	0.0	0.0	0.0	9.613535858488752e-05	0.00025220680958385876	0.00015861686097232136	0.0	0.0	0.0	0.0	0.0	0.0024769992922859165	0.0	8.84016973125884e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Cellul_phi19:3	8.060290976504251e-05	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015861686097232136	0.0006684491978609625	0.0	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Escher_JES_2013	0.012332245194051506	0.0001976284584980237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
